Fecha,TRM (COP)
2024-06-12,3960.83
2024-06-13,4023.26
2024-06-14,4107.52
2024-06-15,4151.55
2024-06-18,4144.63
2024-06-19,4101.87
2024-06-21,4175.96
2024-06-22,4143.72
2024-06-25,4104.38
2024-06-26,4093.66
2024-06-27,4133.61
2024-06-28,4158.10
2024-06-29,4148.04
2024-07-03,4130.03
2024-07-04,4096.09
2024-07-06,4093.72
2024-07-09,4052.99
2024-07-10,4022.05
2024-07-11,3979.91
2024-07-12,3968.87
2024-07-13,3944.97
2024-07-16,3948.41
2024-07-17,3977.63
2024-07-18,4011.19
2024-07-19,4036.73
2024-07-20,4040.20
2024-07-23,4006.01
2024-07-24,4010.53
2024-07-25,4047.66
2024-07-26,4035.00
2024-07-27,4014.56
2024-07-30,4059.91
2024-07-31,4089.05
2024-08-01,4060.34
2024-08-02,4057.14
2024-08-03,4110.37
2024-08-06,4184.30
2024-08-07,4136.27
2024-08-09,4100.79
2024-08-10,4064.51
2024-08-13,4063.26
2024-08-14,4038.87
2024-08-15,4021.10
2024-08-16,4014.18
2024-08-17,4021.63
2024-08-21,4011.37
2024-08-22,4013.98
2024-08-23,4064.03
2024-08-24,4030.52
2024-08-27,4023.92
2024-08-28,4045.64
2024-08-29,4065.34
2024-08-30,4132.11
2024-08-31,4160.31
2024-09-04,4185.80
2024-09-05,4185.82
2024-09-06,4172.50
2024-09-07,4149.79
2024-09-10,4220.68
2024-09-11,4285.61
2024-09-12,4278.28
2024-09-13,4236.63
2024-09-14,4172.13
2024-09-17,4220.58
2024-09-18,4239.33
2024-09-19,4189.46
2024-09-20,4175.10
2024-09-21,4156.89
2024-09-24,4155.31
2024-09-25,4139.43
2024-09-26,4192.74
2024-09-27,4188.11
2024-09-28,4164.21
2024-10-01,4178.30
2024-10-02,4224.21
2024-10-03,4203.43
2024-10-04,4197.73
2024-10-05,4173.66
2024-10-08,4194.97
2024-10-09,4233.54
2024-10-10,4233.17
2024-10-11,4217.40
2024-10-12,4192.56
2024-10-16,4244.84
2024-10-17,4266.20
2024-10-18,4263.17
2024-10-19,4252.15
2024-10-22,4286.96
2024-10-23,4262.30
2024-10-24,4293.91
2024-10-25,4311.83
2024-10-26,4316.73
2024-10-29,4342.90
2024-10-30,4367.39
2024-10-31,4413.46
2024-11-01,4409.57
2024-11-02,4414.00
2024-11-06,4421.86
2024-11-07,4430.40
2024-11-08,4344.55
2024-11-09,4346.70
2024-11-13,4413.79
2024-11-14,4478.21
